epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.0,2.7676875591278076,0.0,581.7679443359375
1,0.8888888955116272,0.5027340054512024,0.0,852.808349609375
2,1.0,0.006432348862290382,0.0,1104.520751953125
3,1.0,0.004389939829707146,0.0,1427.4853515625
4,1.0,0.0008725314983166754,0.0,1763.532470703125
5,1.0,0.00050048076082021,0.0,2089.2529296875
6,1.0,0.0003352089552208781,0.0,2382.029052734375
7,1.0,0.00024027506879065186,0.0,2654.779296875
8,1.0,0.00018191829440183938,0.0,2904.65478515625
9,1.0,0.00014636202831752598,0.0,2675.95166015625
10,1.0,0.00014328965335153043,0.0,2477.14306640625
11,1.0,0.00014065431605558842,0.0,2302.420166015625
12,1.0,0.00013837650476489216,0.0,2147.6298828125
13,1.0,0.00013619140372611582,0.0,2009.29541015625
14,1.0,0.00013417843729257584,0.0,1884.89013671875
15,1.0,0.00013231116463430226,0.0,1772.363525390625
