epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.0,3.0980262756347656,0.0,615.8707885742188
1,1.0,0.09315513074398041,0.0,1037.54736328125
2,1.0,0.0022527973633259535,0.0,1426.7099609375
3,1.0,0.000475415145047009,0.0,1778.50390625
4,1.0,6.470084917964414e-05,0.0,2112.0908203125
5,1.0,3.1761694117449224e-05,0.0,2435.21630859375
6,1.0,2.0119456166867167e-05,0.0,2737.66552734375
7,1.0,1.4490336070593912e-05,0.0,3011.968017578125
8,1.0,1.2106232134101447e-05,0.0,3250.73583984375
9,1.0,1.0914161975961179e-05,0.0,2954.68017578125
10,1.0,1.0834688509930857e-05,0.0,2700.60302734375
11,1.0,1.0834687600436155e-05,0.0,2479.89794921875
12,1.0,1.0755215043900535e-05,0.0,2286.369384765625
13,1.0,1.0688988368201535e-05,0.0,2115.50146484375
14,1.0,1.0636005754349753e-05,0.0,1963.54638671875
15,1.0,1.0543288226472214e-05,0.0,1827.702880859375
