epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.1111111119389534,3.601001739501953,0.0,508.7178649902344
1,1.0,0.14404362440109253,0.0,779.9434814453125
2,1.0,0.0031566452234983444,0.0,1063.6270751953125
3,1.0,0.001065226155333221,0.0,1346.1728515625
4,1.0,0.00018665925017558038,0.0,1624.91650390625
5,1.0,9.744748967932537e-05,0.0,1912.9276123046875
6,1.0,5.676135697285645e-05,0.0,2204.6396484375
7,1.0,4.9769023462431505e-05,0.0,2479.37353515625
8,1.0,4.543850809568539e-05,0.0,2728.903564453125
9,1.0,3.370608465047553e-05,0.0,2494.921630859375
10,1.0,3.271289460826665e-05,0.0,2292.83544921875
11,1.0,3.1574032618664205e-05,0.0,2116.313720703125
12,1.0,3.0368952138815075e-05,0.0,1960.889892578125
13,1.0,2.919034886872396e-05,0.0,1822.916015625
14,1.0,2.7972015232080594e-05,0.0,1699.601318359375
15,1.0,2.6727178919827566e-05,0.0,1588.81982421875
