epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.0,3.3351187705993652,0.0,632.218505859375
1,1.0,0.10257968306541443,0.0,789.045166015625
2,1.0,0.0007104240357875824,0.0,932.821533203125
3,1.0,0.00010086959809996188,0.0,1071.60595703125
4,1.0,3.3867960155475885e-05,0.0,1216.717529296875
5,1.0,1.6993755707517266e-05,0.0,1362.34375
6,1.0,1.000026531983167e-05,0.0,1505.471435546875
7,1.0,7.629345418536104e-06,0.0,1635.465576171875
8,1.0,5.549826710193884e-06,0.0,1745.7208251953125
9,1.0,3.761703283089446e-06,0.0,1613.6376953125
10,1.0,3.563022346497746e-06,0.0,1498.55908203125
11,1.0,3.457059619904612e-06,0.0,1397.1385498046875
12,1.0,3.3643418646533974e-06,0.0,1306.9105224609375
13,1.0,3.231887603760697e-06,0.0,1225.961181640625
14,1.0,3.1126792237046175e-06,0.0,1152.888671875
15,1.0,3.0332068945426727e-06,0.0,1086.534912109375
