epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5555555820465088,1.9426149129867554,0.0,193.8344268798828
1,1.0,0.08790873736143112,0.0,251.9224395751953
2,1.0,0.008922675624489784,0.0,309.869384765625
3,1.0,0.0008458470110781491,0.0,374.0726623535156
4,1.0,0.00022740947315469384,0.0,443.6960754394531
5,1.0,9.795595542527735e-05,0.0,513.8363037109375
6,1.0,5.139044515090063e-05,0.0,583.5515747070312
7,1.0,3.027848288184032e-05,0.0,648.8568115234375
8,1.0,2.0742112610605545e-05,0.0,708.973388671875
9,1.0,1.577518560225144e-05,0.0,653.5294189453125
10,1.0,1.5364585124189034e-05,0.0,605.31298828125
11,1.0,1.5006964531494305e-05,0.0,563.1514282226562
12,1.0,1.4755305528524332e-05,0.0,526.0465698242188
13,1.0,1.4477157492365222e-05,0.0,492.9791564941406
14,1.0,1.425198934157379e-05,0.0,463.1607666015625
15,1.0,1.4053310223971494e-05,0.0,436.19561767578125
