epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.0,3.9792585372924805,0.0,411.197265625
1,1.0,0.2578338384628296,0.0,875.2322998046875
2,1.0,0.005363332107663155,0.0,1313.0067138671875
3,1.0,0.00016839044110383838,0.0,1785.9176025390625
4,1.0,5.513837095350027e-05,0.0,2264.234130859375
5,1.0,2.7139351004734635e-05,0.0,2720.628173828125
6,1.0,1.6106270777527243e-05,0.0,3137.88037109375
7,1.0,1.1033369446522556e-05,0.0,3505.69384765625
8,1.0,7.867754902690649e-06,0.0,3818.13134765625
9,1.0,5.920695002714638e-06,0.0,3482.17529296875
10,1.0,5.788241651316639e-06,0.0,3192.0810546875
11,1.0,5.6822791520971805e-06,0.0,2939.064697265625
12,1.0,5.602807050308911e-06,0.0,2716.572509765625
13,1.0,5.430617875390453e-06,0.0,2519.2646484375
14,1.0,5.364390744944103e-06,0.0,2343.251953125
15,1.0,5.284918643155834e-06,0.0,2185.317138671875
