epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.3333333432674408,1.96101975440979,0.0,766.0218505859375
1,1.0,0.04149816930294037,0.0,1037.1573486328125
2,1.0,0.0012361773988232017,0.0,1277.079345703125
3,1.0,0.00022373744286596775,0.0,1501.405517578125
4,1.0,8.553088991902769e-05,0.0,1717.767578125
5,1.0,3.468880822765641e-05,0.0,1915.559326171875
6,1.0,1.8662598449736834e-05,0.0,2087.24462890625
7,1.0,1.1814853678515647e-05,0.0,2232.859130859375
8,1.0,8.31810393719934e-06,0.0,2356.13671875
9,1.0,6.344550001813332e-06,0.0,2180.7607421875
10,1.0,6.198851679073414e-06,0.0,2028.244384765625
11,1.0,6.132624548627064e-06,0.0,1893.962890625
12,1.0,6.039907020749524e-06,0.0,1774.499755859375
13,1.0,5.920698640693445e-06,0.0,1667.4976806640625
14,1.0,5.827981112815905e-06,0.0,1570.9658203125
15,1.0,5.774999408458825e-06,0.0,1483.434326171875
